 run  |                     source                     | capacitor 
 1049 | YBe                                            | Yes
 1052 | YBe                                            | Yes
 1053 | YBe                                            | Yes
 1054 | YBe                                            | Yes
 1055 | YBe                                            | Yes
 1056 | YBe                                            | Yes
 1057 | YBe                                            | Yes
 1059 | YBe                                            | Yes
 1060 | YBe                                            | Yes
 1062 | YBe                                            | Yes
 1063 | YBe                                            | Yes
 1064 | YBe                                            | Yes
 1066 | YBe                                            | Yes
 1067 | YBe                                            | Yes
 1068 | YBe                                            | Yes
 1069 | YBe                                            | Yes
 1070 | YBe                                            | Yes
 1071 | YBe                                            | Yes
 1073 | YBe                                            | Yes
 1074 | YBe                                            | Yes
 1075 | YBe                                            | Yes
 1076 | YBe                                            | Yes
 1077 | YBe                                            | Yes
 1078 | YBe                                            | Yes
 1081 | YBe                                            | Yes
 1082 | YBe                                            | Yes
 1083 | YBe                                            | Yes
 1084 | YBe                                            | Yes
 1085 | YBe                                            | Yes
 1087 | YBe                                            | Yes
 1088 | YBe                                            | Yes
  829 | YAl + strong Co57 + 2 Pb sheets                | no
 1092 | YBe                                            | Yes
 1095 | YBe + strong Co57 + 2 Pb sheets                | No
 1096 | YBe                                            | No
 1097 | YBe                                            | No
 1098 | YBe                                            | No
 1099 | YBe                                            | No
 1100 | YBe                                            | No
 1102 | YBe                                            | No
 1103 | YBe                                            | No
 1104 | YBe                                            | No
 1105 | YBe                                            | No
 1106 | YBe                                            | No
 1107 | YBe                                            | No
 1109 | YBe                                            | No
 1111 | YBe                                            | Yes
 1114 | YBe + strong Co57 + 2 Pb sheets                | No
 1115 | YBe                                            | No
 1116 | YBe                                            | No
 1117 | YBe                                            | No
 1118 | YBe                                            | No
 1119 | YBe                                            | No
 1121 | YBe                                            | No
 1122 | YBe                                            | No
 1123 | YBe                                            | No
 1124 | YBe                                            | No
 1125 | YBe                                            | No
 1127 | YBe                                            | No
 1128 | YBe                                            | No
 1129 | YBe                                            | No
 1130 | YBe                                            | No
 1131 | YBe                                            | No
 1132 | YBe                                            | No
 1134 | YBe                                            | No
 1135 | YBe                                            | No
 1136 | YBe                                            | No
 1137 | YBe                                            | No
 1138 | YBe                                            | No
 1140 | YBe                                            | Yes
  833 | strong Co57 + 2 Pb sheets                      | No
  839 | background                                     | Yes
 1187 | YAl                                            | Yes
 1145 | YAl                                            | No
 1146 | YAl                                            | No
 1147 | YAl                                            | No
 1148 | YAl                                            | No
 1149 | YAl                                            | No
 1150 | YAl                                            | No
 1152 | YAl                                            | No
 1153 | YAl                                            | No
 1154 | YAl                                            | No
 1155 | YAl                                            | No
 1156 | YAl                                            | No
 1158 | YAl                                            | No
 1159 | YAl                                            | No
